flowerId,sepalLength,sepalWidth,petalLength,petalWidth,species
iris-001,5.1,3.5,1.4,0.2,setosa
iris-002,4.9,3,1.4,0.2,setosa
iris-003,4.7,3.2,1.3,0.2,setosa
iris-004,4.6,3.1,1.5,0.2,setosa
iris-005,5,3.6,1.4,0.2,setosa
iris-006,5.4,3.9,1.7,0.4,setosa
iris-007,4.6,3.4,1.4,0.3,setosa
iris-008,5,3.4,1.5,0.2,setosa
iris-009,4.4,2.9,1.4,0.2,setosa
iris-010,4.9,3.1,1.5,0.1,setosa
iris-011,5.4,3.7,1.5,0.2,setosa
iris-012,4.8,3.4,1.6,0.2,setosa
iris-013,4.8,3,1.4,0.1,setosa
iris-014,4.3,3,1.1,0.1,setosa
iris-015,5.8,4,1.2,0.2,setosa
iris-016,5.7,4.4,1.5,0.4,setosa
iris-017,5.4,3.9,1.3,0.4,setosa
iris-018,5.1,3.5,1.4,0.3,setosa
iris-019,5.7,3.8,1.7,0.3,setosa
iris-020,5.1,3.8,1.5,0.3,setosa
iris-021,5.4,3.4,1.7,0.2,setosa
iris-022,5.1,3.7,1.5,0.4,setosa
iris-023,4.6,3.6,1,0.2,setosa
iris-024,5.1,3.3,1.7,0.5,setosa
iris-025,4.8,3.4,1.9,0.2,setosa
iris-026,5,3,1.6,0.2,setosa
iris-027,5,3.4,1.6,0.4,setosa
iris-028,5.2,3.5,1.5,0.2,setosa
iris-029,5.2,3.4,1.4,0.2,setosa
iris-030,4.7,3.2,1.6,0.2,setosa
iris-031,4.8,3.1,1.6,0.2,setosa
iris-032,5.4,3.4,1.5,0.4,setosa
iris-033,5.2,4.1,1.5,0.1,setosa
iris-034,5.5,4.2,1.4,0.2,setosa
iris-035,4.9,3.1,1.5,0.2,setosa
iris-036,5,3.2,1.2,0.2,setosa
iris-037,5.5,3.5,1.3,0.2,setosa
iris-038,4.9,3.6,1.4,0.1,setosa
iris-039,4.4,3,1.3,0.2,setosa
iris-040,5.1,3.4,1.5,0.2,setosa
iris-041,5,3.5,1.3,0.3,setosa
iris-042,4.5,2.3,1.3,0.3,setosa
iris-043,4.4,3.2,1.3,0.2,setosa
iris-044,5,3.5,1.6,0.6,setosa
iris-045,5.1,3.8,1.9,0.4,setosa
iris-046,4.8,3,1.4,0.3,setosa
iris-047,5.1,3.8,1.6,0.2,setosa
iris-048,4.6,3.2,1.4,0.2,setosa
iris-049,5.3,3.7,1.5,0.2,setosa
iris-050,5,3.3,1.4,0.2,setosa
iris-051,7,3.2,4.7,1.4,versicolor
iris-052,6.4,3.2,4.5,1.5,versicolor
iris-053,6.9,3.1,4.9,1.5,versicolor
iris-054,5.5,2.3,4,1.3,versicolor
iris-055,6.5,2.8,4.6,1.5,versicolor
iris-056,5.7,2.8,4.5,1.3,versicolor
iris-057,6.3,3.3,4.7,1.6,versicolor
iris-058,4.9,2.4,3.3,1,versicolor
iris-059,6.6,2.9,4.6,1.3,versicolor
iris-060,5.2,2.7,3.9,1.4,versicolor
iris-061,5,2,3.5,1,versicolor
iris-062,5.9,3,4.2,1.5,versicolor
iris-063,6,2.2,4,1,versicolor
iris-064,6.1,2.9,4.7,1.4,versicolor
iris-065,5.6,2.9,3.6,1.3,versicolor
iris-066,6.7,3.1,4.4,1.4,versicolor
iris-067,5.6,3,4.5,1.5,versicolor
iris-068,5.8,2.7,4.1,1,versicolor
iris-069,6.2,2.2,4.5,1.5,versicolor
iris-070,5.6,2.5,3.9,1.1,versicolor
iris-071,5.9,3.2,4.8,1.8,versicolor
iris-072,6.1,2.8,4,1.3,versicolor
iris-073,6.3,2.5,4.9,1.5,versicolor
iris-074,6.1,2.8,4.7,1.2,versicolor
iris-075,6.4,2.9,4.3,1.3,versicolor
iris-076,6.6,3,4.4,1.4,versicolor
iris-077,6.8,2.8,4.8,1.4,versicolor
iris-078,6.7,3,5,1.7,versicolor
iris-079,6,2.9,4.5,1.5,versicolor
iris-080,5.7,2.6,3.5,1,versicolor
