date,ticker,open,high,low,close,volume
2025-08-11,AAPL,227.92,229.56,224.76,227.18,61806130
2025-08-12,AAPL,228.005,230.8,227.07,229.65,55672300
2025-08-13,AAPL,231.07,235,230.43,233.33,69878550
2025-08-14,AAPL,234.055,235.12,230.85,232.78,51916280
2025-08-15,AAPL,234,234.28,229.335,231.59,56038660
2025-08-18,AAPL,231.7,233.12,230.11,230.89,37476190
2025-08-19,AAPL,231.275,232.87,229.35,230.56,39402560
2025-08-20,AAPL,229.98,230.47,225.77,226.01,42263870
2025-08-21,AAPL,226.27,226.52,223.7804,224.9,30621250
2025-08-22,AAPL,226.17,229.09,225.41,227.76,42477810
2025-08-25,AAPL,226.48,229.3,226.23,227.16,30983130
2025-08-26,AAPL,226.87,229.49,224.69,229.31,54575110
2025-08-27,AAPL,228.61,230.9,228.26,230.49,31259510
2025-08-28,AAPL,230.82,233.41,229.335,232.56,38074700
2025-08-29,AAPL,232.51,233.38,231.37,232.14,39418440
2025-09-02,AAPL,229.25,230.85,226.97,229.72,44075640
2025-09-03,AAPL,237.21,238.85,234.36,238.47,66427840
2025-09-04,AAPL,238.45,239.8999,236.74,239.78,47549430
2025-09-05,AAPL,239.995,241.32,238.4901,239.69,54870400
2025-09-08,AAPL,239.3,240.15,236.34,237.88,48999500
2025-09-09,AAPL,237,238.7805,233.36,234.35,66313920
2025-09-10,AAPL,232.185,232.42,225.95,226.79,83440810
2025-09-11,AAPL,226.875,230.45,226.65,230.03,50208580
2025-09-12,AAPL,229.22,234.51,229.02,234.07,55824220
2025-09-15,AAPL,237,238.19,235.03,236.7,42699520
2025-09-16,AAPL,237.175,241.22,236.3235,238.15,63421100
2025-09-17,AAPL,238.97,240.1,237.7301,238.99,46508020
2025-09-18,AAPL,239.97,241.2,236.65,237.88,44249580
2025-09-19,AAPL,241.225,246.3,240.2106,245.5,163741300
2025-09-22,AAPL,248.3,256.64,248.12,256.08,105517400
2025-09-23,AAPL,255.875,257.34,253.58,254.43,60275190
2025-09-24,AAPL,255.22,255.74,251.04,252.31,42303710
2025-09-25,AAPL,253.205,257.17,251.712,256.87,55202080
2025-09-26,AAPL,254.095,257.6,253.78,255.46,46076260
2025-09-29,AAPL,254.56,255,253.01,254.43,40127690
2025-09-30,AAPL,254.855,255.919,253.11,254.63,37704260
2025-10-01,AAPL,255.04,258.79,254.93,255.45,48713940
2025-10-02,AAPL,256.575,258.18,254.15,257.13,42630240
2025-10-03,AAPL,254.665,259.24,253.95,258.02,49155610
2025-10-06,AAPL,257.99,259.07,255.05,256.69,44664120
2025-10-07,AAPL,256.805,257.4,255.43,256.48,31955780
2025-10-08,AAPL,256.52,258.52,256.11,258.06,36496900
2025-10-09,AAPL,257.805,258,253.14,254.04,38322010
2025-10-10,AAPL,254.94,256.38,244,245.27,61999100
2025-10-13,AAPL,249.38,249.69,245.56,247.66,38142940
2025-10-14,AAPL,246.6,248.845,244.7,247.77,35477990
2025-10-15,AAPL,249.485,251.82,247.47,249.34,33893610
2025-10-16,AAPL,248.25,249.04,245.13,247.45,39776970
2025-10-17,AAPL,248.02,253.38,247.27,252.29,49146960
2025-10-20,AAPL,255.885,264.375,255.63,262.24,90483030
2025-10-21,AAPL,261.88,265.29,261.83,262.77,46695950
2025-10-22,AAPL,262.65,262.85,255.43,258.45,45015250
2025-10-23,AAPL,259.94,260.62,258.0101,259.58,32754940
2025-10-24,AAPL,261.19,264.13,259.18,262.82,38253720
2025-10-27,AAPL,264.88,269.12,264.6501,268.81,44888150
2025-10-28,AAPL,268.985,269.89,268.15,269,41534760
2025-10-29,AAPL,269.275,271.41,267.11,269.7,51086740
2025-10-30,AAPL,271.99,274.14,268.48,271.4,69886530
2025-10-31,AAPL,276.99,277.32,269.16,270.37,86167120
2025-11-03,AAPL,270.42,270.85,266.25,269.05,50194580
2025-11-04,AAPL,268.325,271.486,267.615,270.04,49274850
2025-11-05,AAPL,268.61,271.7,266.93,270.14,43683070
2025-11-06,AAPL,267.89,273.4,267.89,269.77,51204050
2025-11-07,AAPL,269.795,272.29,266.77,268.47,48227370
2025-11-10,AAPL,268.96,273.73,267.455,269.43,41312410
2025-11-11,AAPL,269.81,275.91,269.8,275.25,46208320
2025-11-12,AAPL,275,275.73,271.7,273.47,48397980
2025-11-13,AAPL,274.11,276.699,272.09,272.95,49602790
2025-11-14,AAPL,271.05,275.96,269.6,272.41,47431330
2025-11-17,AAPL,268.815,270.49,265.73,267.46,45018260
2025-11-18,AAPL,269.99,270.71,265.32,267.44,45677280
2025-11-19,AAPL,265.525,272.21,265.5,268.56,40424490
2025-11-20,AAPL,270.83,275.43,265.92,266.25,45823570
2025-11-21,AAPL,265.95,273.33,265.67,271.49,59030830
2025-11-24,AAPL,270.9,277,270.9,275.92,65585800
2025-11-25,AAPL,275.27,280.38,275.25,276.97,46914220
2025-11-26,AAPL,276.96,279.53,276.63,277.55,33431420
2025-11-28,AAPL,277.26,279,275.9865,278.85,20135620
2025-12-01,AAPL,278.01,283.42,276.14,283.1,46587720
2025-12-02,AAPL,283,287.4,282.6301,286.19,53669530
2025-12-03,AAPL,286.2,288.62,283.3,284.15,43538690
2025-12-04,AAPL,284.095,284.73,278.59,280.7,43989060
2025-12-05,AAPL,280.54,281.14,278.05,278.78,47265850
2025-12-08,AAPL,278.13,279.6693,276.15,277.89,38211830
2025-12-09,AAPL,278.16,280.03,276.92,277.18,32193260
2025-12-10,AAPL,277.75,279.75,276.44,278.78,33038320
2025-12-11,AAPL,279.095,279.59,273.81,278.03,33247990
2025-12-12,AAPL,277.9,279.22,276.82,278.28,39532890
2025-12-15,AAPL,280.15,280.15,272.84,274.11,50409080
2025-12-16,AAPL,272.82,275.5,271.79,274.61,37648630
2025-12-17,AAPL,275.01,276.16,271.64,271.84,50138740
2025-12-18,AAPL,273.605,273.63,266.95,272.19,51630720
2025-12-19,AAPL,272.145,274.6,269.9,273.67,144632000
2025-12-22,AAPL,272.86,273.88,270.505,270.97,36571830
2025-12-23,AAPL,270.84,272.5,269.56,272.36,29642000
2025-12-24,AAPL,272.34,275.43,272.195,273.81,17910570
2025-12-26,AAPL,274.16,275.37,272.86,273.4,21521800
2025-12-29,AAPL,272.69,274.36,272.35,273.76,23715210
2025-12-30,AAPL,272.81,274.08,272.28,273.08,22139620
2025-12-31,AAPL,273.06,273.68,271.75,271.86,27293640
2026-01-02,AAPL,272.255,277.84,269,271.01,37838050
2026-01-05,AAPL,270.64,271.51,266.14,267.26,45647190
2026-01-06,AAPL,267,267.55,262.12,262.36,52352090
2026-01-07,AAPL,263.2,263.68,259.81,260.33,48309800
2026-01-08,AAPL,257.02,259.29,255.7,259.04,50419340
2026-01-09,AAPL,259.075,260.21,256.22,259.37,39996970
2026-01-12,AAPL,259.16,261.3,256.8,260.25,45263770
2026-01-13,AAPL,258.72,261.81,258.39,261.05,45730850
2026-01-14,AAPL,259.49,261.82,256.71,259.96,40019420
2026-01-15,AAPL,260.65,261.04,257.05,258.21,39388560
2026-01-16,AAPL,257.9,258.9,254.93,255.53,72142770
2026-01-20,AAPL,252.73,254.79,243.42,246.7,80267520
2026-01-21,AAPL,248.7,251.56,245.18,247.65,54641730
2026-01-22,AAPL,249.2,251,248.15,248.35,39708340
2026-01-23,AAPL,247.32,249.41,244.68,248.04,41688980
2026-01-26,AAPL,251.48,256.56,249.8,255.41,55969230
2026-01-27,AAPL,259.17,261.95,258.21,258.27,49648270
2026-01-28,AAPL,257.65,258.855,254.51,256.44,41287970
2026-01-29,AAPL,258,259.65,254.41,258.28,67253010
2026-01-30,AAPL,255.165,261.8999,252.18,259.48,92443410
2026-02-02,AAPL,260.03,270.49,259.205,270.01,73913430
2026-02-03,AAPL,269.2,271.875,267.61,269.48,64394660
2026-02-04,AAPL,272.285,278.95,272.285,276.49,90545710
