date,year,industry,unemployed,share
2000-01-01,2000,Wholesale and Retail Trade,1000,0.167392032139
2000-01-01,2000,Manufacturing,734,0.122865751590
2000-01-01,2000,Leisure and hospitality,782,0.130900569133
2000-01-01,2000,Business services,655,0.109641781051
2000-01-01,2000,Construction,745,0.124707063944
2000-01-01,2000,Education and Health,353,0.059089387345
2000-01-01,2000,Government,430,0.071978573820
2000-01-01,2000,Finance,228,0.038165383328
2000-01-01,2000,Self-employed,239,0.040006695681
2000-01-01,2000,Other,274,0.045865416806
2000-01-01,2000,Transportation and Utilities,236,0.039504519585
2000-01-01,2000,Information,125,0.020924004017
2000-01-01,2000,Agriculture,154,0.025778372949
2000-01-01,2000,Mining and Extraction,19,0.003180448611
2000-02-01,2000,Wholesale and Retail Trade,1023,0.172804054054
2000-02-01,2000,Manufacturing,694,0.117229729730
2000-02-01,2000,Leisure and hospitality,779,0.131587837838
2000-02-01,2000,Business services,587,0.099155405405
2000-02-01,2000,Construction,812,0.137162162162
2000-02-01,2000,Education and Health,349,0.058952702703
2000-02-01,2000,Government,409,0.069087837838
2000-02-01,2000,Finance,240,0.040540540541
2000-02-01,2000,Self-employed,262,0.044256756757
2000-02-01,2000,Other,232,0.039189189189
2000-02-01,2000,Transportation and Utilities,223,0.037668918919
2000-02-01,2000,Information,112,0.018918918919
2000-02-01,2000,Agriculture,173,0.029222972973
2000-02-01,2000,Mining and Extraction,25,0.004222972973
2000-03-01,2000,Wholesale and Retail Trade,983,0.173002463921
2000-03-01,2000,Manufacturing,739,0.130059838085
2000-03-01,2000,Leisure and hospitality,789,0.138859556494
2000-03-01,2000,Business services,623,0.109644491376
2000-03-01,2000,Construction,669,0.117740232313
2000-03-01,2000,Education and Health,381,0.067053854277
2000-03-01,2000,Government,311,0.054734248504
2000-03-01,2000,Finance,226,0.039774727209
2000-03-01,2000,Self-employed,213,0.037486800422
2000-03-01,2000,Other,247,0.043470608941
2000-03-01,2000,Transportation and Utilities,192,0.033790918691
2000-03-01,2000,Information,140,0.024639211545
2000-03-01,2000,Agriculture,152,0.026751143963
2000-03-01,2000,Mining and Extraction,17,0.002991904259
2000-04-01,2000,Wholesale and Retail Trade,793,0.163673890609
2000-04-01,2000,Manufacturing,736,0.151909184727
2000-04-01,2000,Leisure and hospitality,658,0.135810113519
2000-04-01,2000,Business services,517,0.106707946336
2000-04-01,2000,Construction,447,0.092260061920
2000-04-01,2000,Education and Health,329,0.067905056760
2000-04-01,2000,Government,269,0.055521155831
2000-04-01,2000,Finance,197,0.040660474716
2000-04-01,2000,Self-employed,218,0.044994840041
2000-04-01,2000,Other,240,0.049535603715
2000-04-01,2000,Transportation and Utilities,191,0.039422084623
2000-04-01,2000,Information,95,0.019607843137
2000-04-01,2000,Agriculture,135,0.027863777090
2000-04-01,2000,Mining and Extraction,20,0.004127966976
2000-05-01,2000,Wholesale and Retail Trade,821,0.163937699681
2000-05-01,2000,Manufacturing,685,0.136781150160
2000-05-01,2000,Leisure and hospitality,675,0.134784345048
2000-05-01,2000,Business services,561,0.112020766773
2000-05-01,2000,Construction,397,0.079273162939
2000-05-01,2000,Education and Health,423,0.084464856230
2000-05-01,2000,Government,370,0.073881789137
2000-05-01,2000,Finance,195,0.038937699681
2000-05-01,2000,Self-employed,206,0.041134185304
2000-05-01,2000,Other,254,0.050718849840
2000-05-01,2000,Transportation and Utilities,190,0.037939297125
2000-05-01,2000,Information,131,0.026158146965
2000-05-01,2000,Agriculture,73,0.014576677316
2000-05-01,2000,Mining and Extraction,27,0.005391373802
2000-06-01,2000,Wholesale and Retail Trade,837,0.157449209932
2000-06-01,2000,Manufacturing,621,0.116817155756
2000-06-01,2000,Leisure and hospitality,833,0.156696764485
2000-06-01,2000,Business services,545,0.102520692250
2000-06-01,2000,Construction,389,0.073175319789
2000-06-01,2000,Education and Health,452,0.085026335591
2000-06-01,2000,Government,603,0.113431151242
2000-06-01,2000,Finance,216,0.040632054176
2000-06-01,2000,Self-employed,188,0.035364936042
2000-06-01,2000,Other,225,0.042325056433
2000-06-01,2000,Transportation and Utilities,183,0.034424379233
2000-06-01,2000,Information,102,0.019187358916
2000-06-01,2000,Agriculture,109,0.020504138450
2000-06-01,2000,Mining and Extraction,13,0.002445447705
2000-07-01,2000,Wholesale and Retail Trade,792,0.146449704142
2000-07-01,2000,Manufacturing,708,0.130917159763
2000-07-01,2000,Leisure and hospitality,786,0.145340236686
2000-07-01,2000,Business services,636,0.117603550296
2000-07-01,2000,Construction,384,0.071005917160
2000-07-01,2000,Education and Health,478,0.088387573964
2000-07-01,2000,Government,545,0.100776627219
2000-07-01,2000,Finance,190,0.035133136095
2000-07-01,2000,Self-employed,222,0.041050295858
2000-07-01,2000,Other,202,0.037352071006
2000-07-01,2000,Transportation and Utilities,228,0.042159763314
2000-07-01,2000,Information,144,0.026627218935
2000-07-01,2000,Agriculture,77,0.014238165680
2000-07-01,2000,Mining and Extraction,16,0.002958579882
2000-08-01,2000,Wholesale and Retail Trade,853,0.159857571214
2000-08-01,2000,Manufacturing,685,0.128373313343
2000-08-01,2000,Leisure and hospitality,675,0.126499250375
2000-08-01,2000,Business services,584,0.109445277361
2000-08-01,2000,Construction,446,0.083583208396
2000-08-01,2000,Education and Health,450,0.084332833583
2000-08-01,2000,Government,583,0.109257871064
2000-08-01,2000,Finance,213,0.039917541229
2000-08-01,2000,Self-employed,186,0.034857571214
2000-08-01,2000,Other,187,0.035044977511
2000-08-01,2000,Transportation and Utilities,198,0.037106446777
2000-08-01,2000,Information,143,0.026799100450
2000-08-01,2000,Agriculture,110,0.020614692654
2000-08-01,2000,Mining and Extraction,23,0.004310344828
2000-09-01,2000,Wholesale and Retail Trade,791,0.158994974874
2000-09-01,2000,Manufacturing,667,0.134070351759
2000-09-01,2000,Leisure and hospitality,636,0.127839195980
2000-09-01,2000,Business services,559,0.112361809045
2000-09-01,2000,Construction,386,0.077587939698
2000-09-01,2000,Education and Health,398,0.080000000000
2000-09-01,2000,Government,408,0.082010050251
2000-09-01,2000,Finance,187,0.037587939698
2000-09-01,2000,Self-employed,213,0.042814070352
2000-09-01,2000,Other,220,0.044221105528
2000-09-01,2000,Transportation and Utilities,231,0.046432160804
2000-09-01,2000,Information,130,0.026130653266
2000-09-01,2000,Agriculture,124,0.024924623116
2000-09-01,2000,Mining and Extraction,25,0.005025125628
2000-10-01,2000,Wholesale and Retail Trade,739,0.154408692018
2000-10-01,2000,Manufacturing,693,0.144797325533
2000-10-01,2000,Leisure and hospitality,691,0.144379440033
2000-10-01,2000,Business services,504,0.105307145842
2000-10-01,2000,Construction,417,0.087129126619
2000-10-01,2000,Education and Health,339,0.070831592144
2000-10-01,2000,Government,391,0.081696615127
2000-10-01,2000,Finance,224,0.046803175930
2000-10-01,2000,Self-employed,226,0.047221061429
2000-10-01,2000,Other,161,0.033639782700
2000-10-01,2000,Transportation and Utilities,153,0.031968240702
2000-10-01,2000,Information,96,0.020058503970
2000-10-01,2000,Agriculture,113,0.023610530715
2000-10-01,2000,Mining and Extraction,39,0.008148767238
2000-11-01,2000,Wholesale and Retail Trade,701,0.141501816714
2000-11-01,2000,Manufacturing,672,0.135647961243
2000-11-01,2000,Leisure and hospitality,694,0.140088817117
2000-11-01,2000,Business services,547,0.110415825595
2000-11-01,2000,Construction,482,0.097295115059
2000-11-01,2000,Education and Health,351,0.070851836899
2000-11-01,2000,Government,384,0.077513120711
2000-11-01,2000,Finance,184,0.037141703674
2000-11-01,2000,Self-employed,273,0.055106984255
2000-11-01,2000,Other,217,0.043802987485
2000-11-01,2000,Transportation and Utilities,129,0.026039563989
2000-11-01,2000,Information,117,0.023617278966
2000-11-01,2000,Agriculture,192,0.038756560355
2000-11-01,2000,Mining and Extraction,11,0.002220427937
2000-12-01,2000,Wholesale and Retail Trade,715,0.146246676212
2000-12-01,2000,Manufacturing,653,0.133565146247
2000-12-01,2000,Leisure and hospitality,639,0.130701574964
2000-12-01,2000,Business services,564,0.115361014522
2000-12-01,2000,Construction,580,0.118633667417
2000-12-01,2000,Education and Health,293,0.059930456126
2000-12-01,2000,Government,365,0.074657394150
2000-12-01,2000,Finance,200,0.040908161178
2000-12-01,2000,Self-employed,178,0.036408263449
2000-12-01,2000,Other,167,0.034158314584
2000-12-01,2000,Transportation and Utilities,168,0.034362855390
2000-12-01,2000,Information,151,0.030885661690
2000-12-01,2000,Agriculture,196,0.040089997955
2000-12-01,2000,Mining and Extraction,20,0.004090816118
2001-01-01,2001,Wholesale and Retail Trade,908,0.144978444835
2001-01-01,2001,Manufacturing,911,0.145457448507
2001-01-01,2001,Leisure and hospitality,806,0.128692319974
2001-01-01,2001,Business services,734,0.117196231838
2001-01-01,2001,Construction,836,0.133482356698
2001-01-01,2001,Education and Health,428,0.068337857257
2001-01-01,2001,Government,463,0.073926233434
2001-01-01,2001,Finance,232,0.037042950663
2001-01-01,2001,Self-employed,194,0.030975570813
2001-01-01,2001,Other,197,0.031454574485
2001-01-01,2001,Transportation and Utilities,194,0.030975570813
2001-01-01,2001,Information,161,0.025706530417
2001-01-01,2001,Agriculture,188,0.030017563468
2001-01-01,2001,Mining and Extraction,11,0.001756346799
2001-02-01,2001,Wholesale and Retail Trade,990,0.159961221522
2001-02-01,2001,Manufacturing,902,0.145742446276
2001-02-01,2001,Leisure and hospitality,821,0.132654709969
2001-02-01,2001,Business services,724,0.116981741800
2001-02-01,2001,Construction,826,0.133462594926
2001-02-01,2001,Education and Health,423,0.068347067378
2001-02-01,2001,Government,298,0.048149943448
2001-02-01,2001,Finance,235,0.037970592988
2001-02-01,2001,Self-employed,209,0.033769591210
2001-02-01,2001,Other,243,0.039263208919
2001-02-01,2001,Transportation and Utilities,189,0.030538051381
2001-02-01,2001,Information,109,0.017611892067
2001-02-01,2001,Agriculture,193,0.031184359347
2001-02-01,2001,Mining and Extraction,27,0.004362578769
2001-03-01,2001,Wholesale and Retail Trade,1037,0.168125810636
2001-03-01,2001,Manufacturing,954,0.154669260700
2001-03-01,2001,Leisure and hospitality,817,0.132457846952
2001-03-01,2001,Business services,652,0.105706874189
2001-03-01,2001,Construction,683,0.110732814527
2001-03-01,2001,Education and Health,456,0.073929961089
2001-03-01,2001,Government,355,0.057555123217
2001-03-01,2001,Finance,211,0.034208819715
2001-03-01,2001,Self-employed,181,0.029345006485
2001-03-01,2001,Other,200,0.032425421530
2001-03-01,2001,Transportation and Utilities,193,0.031290531777
2001-03-01,2001,Information,148,0.023994811933
2001-03-01,2001,Agriculture,267,0.043287937743
2001-03-01,2001,Mining and Extraction,14,0.002269779507
